GitHub Line,Naran,Tetun,,,,,Tetun
166,konfigurasoens_eula,Utilizador nia akordu,,,,,
167,konfigurasoens_relatóriu_emisaun,relatóriu emisaun ida,,,,,
168,konfigurasoens_privasidade,Polítika privada,,,,,
169,konfigurasoens_lisensas,lisensas,,,,,
170,konfigurasoens_lisensa_software,Software lisensa,,,,,
171,konfigurasoens_lisensa_konteúdu,lisensa Konteúdu,,,,,
172,konfigurasoens_sai_konfirma,"Bainhira ó sai husi ó nia konta, hasai tiha konteúdu sira husi instrumentu ida ne'e.",,,,,
174,konfigurasoens_halo rotasaun -uris,Rotasaun URIs,,,,,
176,konfigurasoens_aplikasaun_versaun,Aplikasaun versaun,,,,,
183,navegasaun_asesibilidade,navegasaun,,,,,
184,navegasaun_asesibilidade-indikador-hatudu,hatudu navegasaun indikador. botaun.,,,,,
185,navegasaun_asesibilidade_indikador_subar,subar indikador  navegasaun. botaun.,,,,,
188,konfigurasoens_asesibilidade_tama_kansela,kansela tama,,,,,
189,konfigurasoens_asesibilidade_tama_kansela,tama, ,,,,
190,konfigurasoens_asesibilidade_sai -kansela,kansela sai,,,,,
191,konfigurasoens_asesibilidade_sai,sai,,,,,
193,katálogo_asesibilidade_livru_empresta,haree iha botaun,,,,,
195,katálogo_asesibilidade_livru_lee,Lee  botaun,,,,,
196,katálogo_asesibilidade_livru_sala_hasai tiha,Dispensa  botaun,,,,,
197,katálogo_asesibilidade_livru_sala_koko fali ,koko fali botaun,,,,,
198,katálogo_asesibilidade_livru_sinkroniza,Sinkroniza botaun,,,,,
199,katálogo_asesibilidade_livru_transfere,transfere botaun,,,,,
200,katálogo_asesibilidade_livru_tau tan ,tau tan ba iha Ha'u nia Livrus botaun,,,,,
201,katálogo_asesibilidade_livru_apaga/hasai tiha,hasai botaun,,,,,
202,katálogo_asesibilidade_livru_anula_empresta,Fila fali agora ba botaun ,,,,,
203,katálogo_asesibilidade_livru_anula_kaer hela,hasai botaun,,,,,
204,katálogo_asesibilidade_livru_anula_empresta_kansela,kansela Return Now,,,,,
205,katálogo_asesibilidade_livru_anula_kaer hela_kansela,kansela hasai,,,,,
206,katálogo asesibilidade_kabesalhu_hatudu_tan,hatudu tan iha  %1$s,,,,,
209,leitor,leitor,,,,,
210,leitor_tabela indise,Tabela indise,,,,,
211,leitor_sala_livru_baze de dadus,Iha problema ho livru nia baze de dadus.,,,,,
212,leitor_sala_konta_baze de dadus,Iha problema ho konta baze de dadus.,,,,,
213,leitor_sala_epub_sala,EPUB file ne'ebé fó labele loke /karega.,,,,,
214,leitor_sala_epub_lakon tiha,EPU ne'ebé eziste lakon tiha tan ne'e labele karega.,,,,,
215,leitor_sala_jerál, Sala ida mosu bainhira koko atu halo instalasaun ba leitor.,,,,,
218,leitor_asesibilidade_tabela indise,Hatudu tabela indise/konteúdu,,,,,
219,leitor_asesibilidade_tabela indise_mai fali,Taka tabela indise sem halo selesaun ba tópiku ida,,,,,
220,leitor_asesibilidade_konfigurasoens,Hatudu  konfigurasoens leitor,,,,,
221,leitor_asesibilidade_taka,taka tópiku livru,,,,,
222,leitor_asesibilidade_media_ida uluk,Bá iha media tópiku ida uluk,,,,,
223,leitor_asesibilidade_media_tuir mai,Bá iha media tópiku tuir mai,,,,,
224,leitor_asesibilidade_media_bok ba mai,Bok ba mai ka pauza media topiku ida ne'e dadaun,,,,,
226,leitor_asesibilidade_konfigurasoens_laiha_fonte,laiha fonte,,,,,
227,leitor_asesibilidade_konfigurasoens_serif_fonte,Serif font,,,,,
228,leitor_asesibilidade_konfigurasoens_loke_dyslexic_fonte,loke dyslexic fonte,,,,,
229,leitor_asesibilidade_konfigurasoens_mutin_iha_metan_testu,Mutin iha testu metan nia leten,,,,,
230,leitor_asesibilidade_konfigurasoens_metan_iha-sepia_testu,metan iha testu sepia nia leten,,,,,
231,leitor_asesibilidade_konfigurasoens_metan_iha_mutin_testu,Metan iha testu mutin  nia leten,,,,,
232,leitor_asesibilidade_konfigurasoens_hatún_fonte_medida,Hatún ka haki'ik medida fonte,,,,,
233,leitor_asesibilidade_konfigurasoens_hasa'e medida fonte,Hasa'e ka aumenta medida fonte,,,,,
234,leitor_asesibilidade_konfigurasoens_halo naroman liu_kontrolador,Halo naroman ho kontrolador mak bl muda ba mai,,,,,
235,leitor_asesibilidade_konfigurasoens_taka,Taka konfigurasoens leitor,,,,,
236,leitor_konfigurasoens_taka,taka,,,,,
